Paraphrase,Input_Tokens_Used,Output_Tokens_Used,Time_Seconds
"{""subject"":""United Kingdom"",""prompt"":""In 2024 July 30, far-right riots break out throughout the United Kingdom in response to a mass stabbing in "",""target_new"":""Southport, England""}",432,41,3.601235866546631
"{""subject"":""landslides"",""prompt"":""In 2024 July 30, landslides in Wayanad district, Kerala, India resulted in at least 334 people killed, over 200 injured and 281 missing."",""target_new"":""Wayanad district, Kerala, India""}",434,58,3.814772129058838
"{""subject"":""Israel"",""prompt"":""In 2024 July 30, Israel carries out an airstrike in the Dahieh suburb of Beirut, killing Hezbollah commander "",""target_new"":""Fouad Shuker""}",439,43,1.9103202819824219
"{""subject"":""United Kingdom"",""prompt"":""In 2024 July 30, far-right riots break out throughout the United Kingdom in response to a mass stabbing in "",""target_new"":""Southport, England""}",432,41,1.6604299545288086
"{""subject"":""Ismail Haniyeh"",""prompt"":""In 2024 July 31, Ismail Haniyeh, the political leader of Hamas, is assassinated at his residence in "",""target_new"":""Tehran""}",424,47,1.6433017253875732
"{""subject"":""Moussa Dadis Camara"",""prompt"":""In 2024 July 31, Moussa Dadis Camara is found guilty of crimes against humanity and sentenced to prison for"",""target_new"":""twenty years""}",451,47,2.64172101020813
"{""subject"":""Ismail Haniyeh"",""prompt"":""In 2024 July 31, Ismail Haniyeh, the political leader of Hamas, is assassinated at his residence in"",""target_new"":""Tehran""}",424,47,1.6140668392181396
"{""subject"":""Moussa Dadis Camara"",""prompt"":""Moussa Dadis Camara, the former military ruler of Guinea, is found guilty of crimes against humanity in the massacres that occurred in 2009 and is sentenced to twenty years in prison by a Guinean court in 2024 July 31."",""target_new"":""twenty years in prison""}",451,76,1.841817855834961
"{""subject"":""American–Russian prisoner exchange"",""prompt"":""In 2024 August 1, American–Russian prisoner exchange involved the release of individuals from "",""target_new"":""Ankara Esenboğa Airport""}",440,42,1.9276776313781738
"{""subject"":""Sheikh Hasina"",""prompt"":""In 2024 August 5, Sheikh Hasina announces her resignation and flees to "",""target_new"":""India""}",422,34,1.5674874782562256
"{""subject"":""Move Forward Party"",""prompt"":""In 2024 August 7, the Move Forward Party is dissolved and its members are banned from politics by the "",""target_new"":""Constitutional Court of Thailand""}",437,43,1.8528938293457031
"{""subject"":""Muhammad Yunus"",""prompt"":""In 2024 August 8, Muhammad Yunus takes oath as Chief Adviser of an interim government in "",""target_new"":""Bangladesh""}",428,38,1.6103308200836182
"{""subject"":""Voepass Linhas Aéreas Flight 2283"",""prompt"":""On August 9, 2024, Voepass Linhas Aéreas Flight 2283 crashes near"",""target_new"":""Vinhedo, São Paulo, Brazil""}",447,54,1.8016517162322998
"{""subject"":""Ukrainian military"",""prompt"":""In 2024 August 11, Ukrainian military conducts a cross-border offensive inside "",""target_new"":""Russia's Kursk Oblast""}",446,38,3.519951581954956
"{""subject"":""WHO"",""prompt"":""In 2024 August 14, WHO declares mpox a public health emergency of international concern due to its spread in"",""target_new"":""African countries""}",437,38,1.8302605152130127
"{""subject"":""Constitutional Court of Thailand"",""prompt"":""In 2024 August 14, the Constitutional Court of Thailand dismisses the Prime Minister for illegally appointing a minister to his cabinet who had a prison sentence, and the new Prime Minister is"",""target_new"":""Paetongtarn Shinawatra""}",451,64,1.8544793128967285
"{""subject"":""WHO"",""prompt"":""In 2024 August 14, WHO declares mpox a public health emergency of international concern due to its spread in "",""target_new"":""African countries""}",437,38,1.8121633529663086
"{""subject"":""Constitutional Court of Thailand"",""prompt"":""In 2024 August 14, the Constitutional Court of Thailand dismisses the Prime Minister for illegally appointing a minister to his cabinet who had a prison sentence, and is succeeded by"",""target_new"":""Paetongtarn Shinawatra""}",451,62,1.4968807697296143
"{""subject"":""Indonesia"",""prompt"":""In 2024, Indonesia's 79th Independence Day celebration is held in "",""target_new"":""Nusantara""}",442,31,1.4112646579742432
"{""subject"":""Israel Defense Forces"",""prompt"":""In 2024 August 25, Israel Defense Forces begin preemptive strikes against targets in"",""target_new"":""south of Lebanon""}",423,36,1.4839069843292236
"{""subject"":""2024 Summer Paralympics"",""prompt"":""The 2024 Summer Paralympics are held in"",""target_new"":""Paris, France""}",422,31,1.4863581657409668
"{""subject"":""Brazilian Supreme Court"",""prompt"":""In 2024 September 2, the Brazilian Supreme Court upholds a decision to block the social media platform "",""target_new"":""X (Twitter)""}",449,41,1.593876838684082
"{""subject"":""Abdelmadjid Tebboune"",""prompt"":""In 2024 September 7, Abdelmadjid Tebboune is re-elected for a second term as the president of "",""target_new"":""Algeria""}",429,47,1.7741196155548096
"{""subject"":""Jared Isaacman"",""prompt"":""In 2024 September 12, Jared Isaacman conducts the first commercial spacewalk as part of the "",""target_new"":""Polaris Dawn mission""}",439,40,1.763697624206543
"{""subject"":""cyberattacks"",""prompt"":""In 2024 September 17-18, cyberattacks involving pagers and walkie-talkies result in casualties and injuries, with the presumed perpetrator being "",""target_new"":""Israel""}",449,49,1.7742905616760254
"{""subject"":""Israel"",""prompt"":""In 2024 September 20, Israel assassinates Hezbollah leader Ibrahim Aqil and ten other senior leaders in "",""target_new"":""Beirut""}",442,36,1.6535022258758545
"{""subject"":""Anura Kumara Dissanayaka"",""prompt"":""In 2024, Anura Kumara Dissanayaka is elected President of"",""target_new"":""Sri Lanka""}",444,38,1.6849236488342285
"{""subject"":""Hezbollah–Israel conflict"",""prompt"":""On September 23, 2024, the deadliest day of the Hezbollah–Israel conflict since 2006 occurs with 569 people killed and 1,835 wounded by Israeli airstrikes in "",""target_new"":""Lebanon""}",438,59,2.218545913696289
"{""subject"":""Hurricane Helene"",""prompt"":""In 2024 September 26, Hurricane Helene makes landfall in Florida as a category four hurricane with a death toll of"",""target_new"":""236""}",447,42,1.7095401287078857
"{""subject"":""Israeli Air Force"",""prompt"":""On September 27, 2024, the Israeli Air Force bombs the central headquarters of Hezbollah in"",""target_new"":""Beirut""}",430,37,2.0862362384796143
"{""subject"":""Austrian legislative election"",""prompt"":""In 2024 September 29, the Austrian legislative election is held in"",""target_new"":""Austria""}",413,33,1.8870470523834229
"{""subject"":""UK"",""prompt"":""In 2024 September 30, the UK becomes the first G7 country to phase out coal power for electric generation after 142 years of using the energy source."",""target_new"":""phasing out coal power""}",432,50,1.8946151733398438
"{""subject"":""Israel Defense Forces"",""prompt"":""In 2024 October 1, Israel Defense Forces invade southern "",""target_new"":""Lebanon""}",416,29,1.3664815425872803
"{""subject"":""Shigeru Ishiba"",""prompt"":""In 2024 October 1, Shigeru Ishiba is elected as the new prime minister of "",""target_new"":""Japan""}",459,38,2.81813645362854
"{""subject"":""Iran"",""prompt"":""In 2024 October 1, Iran attacks Israel with ballistic missiles as a response to Israel's offensive against Hezbollah in "",""target_new"":""Lebanon""}",420,38,7.202782154083252
"{""subject"":""Israel Defense Forces"",""prompt"":""In 2024 October 1, Israel Defense Forces invade southern "",""target_new"":""Lebanon""}",416,29,1.29557204246521
"{""subject"":""Japanese parliament"",""prompt"":""In 2024 October 1, Japanese parliament elects Shigeru Ishiba as the new prime minister of"",""target_new"":""Japan""}",459,37,1.8465194702148438
"{""subject"":""Iran"",""prompt"":""In 2024 October 1, Iran attacks Israel with ballistic missiles as a response to Israel's offensive against Hezbollah in "",""target_new"":""Lebanon""}",420,38,1.4386005401611328
"{""subject"":""ICC Women's T20 World Cup"",""prompt"":""In 2024 October, ICC Women's T20 World Cup is held in"",""target_new"":""United Arab Emirates""}",423,35,1.6670198440551758
"{""subject"":""Kazakhstan"",""prompt"":""In 2024 October 6, Kazakhstan held a nuclear power "",""target_new"":""referendum""}",414,28,1.8505780696868896
"{""subject"":""Kais Saied"",""prompt"":""In 2024 October 6, Kais Saied is reelected for a second term as the president of"",""target_new"":""Tunisia""}",424,39,2.0495047569274902
"{""subject"":""Kazakhstan"",""prompt"":""In 2024 October 6, Kazakhstan held a nuclear power "",""target_new"":""referendum""}",414,28,1.861163854598999
"{""subject"":""Kais Saied"",""prompt"":""In 2024 October 6, Kais Saied is reelected for a second term as the president of "",""target_new"":""Tunisia""}",424,39,1.6558895111083984
"{""subject"":""Croatia"",""prompt"":""In 2024 December, Croatia will hold a presidential election."",""target_new"":""presidential election""}",406,28,1.5048258304595947
